100000 100000
1 301640676 258929543
1 797018914 641381259
1 662510471 110776402
1 927448644 986028360
1 425928921 817358374
1 673794026 567902929
1 652516820 798692158
1 29589106 235382085
1 88627543 795421339
1 232517350 291842488
1 768194707 376754785
1 195966788 521375065
1 117989615 362526633
1 961663320 713491918
1 614360826 254006384
1 147682394 754383673
1 934676268 54137049
1 772156016 175460669
1 965393669 132441798
1 665269519 384939551
1 538008604 404453558
1 222175984 430679533
1 363680166 634090600
1 13686275 244473696
1 496122041 791625433
1 369799255 191382945
1 895052886 30907767
1 660618250 520472760
1 372604995 102814891
1 59755202 76311796
1 836254256 437789555
1 582439952 630788816
1 686317793 601457492
1 650649636 481701728
1 816472859 831815461
1 896718034 892741370
1 415967555 107425900
1 898625709 97285459
1 819662661 110231569
1 120566810 289296549
1 678770949 670206979
1 322363450 654241347
1 495047430 703486110
1 90208025 2821393
1 706610864 217201916
1 619769675 966218353
1 343853486 267045125
1 165174450 538109226
1 96585479 607486999
1 374069839 307149304
1 474678080 12741955
1 239784739 28281532
1 353433238 212663464
1 446166729 504297557
1 459093998 84080715
1 593985258 606239950
1 537278800 23539612
1 680536560 73038576
1 888352784 31905322
1 658304021 72910181
1 182587965 1796192
1 263626059 504409852
1 536230616 586580300
1 802130539 653116754
1 780762059 142842443
1 318584658 775615035
1 331752873 902988899
1 57191037 77547228
1 287948123 263446570
1 547329281 290765666
1 539275214 10509936
1 45738654 77895799
1 842752352 484128099
1 995534882 909667997
1 579830001 69520368
1 554673875 970284076
1 488715337 861202831
1 450709478 692352355
1 150146000 3515353
1 935588614 355550742
1 683990296 344942481
1 120331179 62487135
1 435527686 82528204
1 503067805 210458974
1 167517414 114115881
1 242853519 65659464
1 428561636 968242792
1 526657003 744140134
1 940781621 942094933
1 827230780 251567360
1 529530546 647653454
1 766180452 675887930
1 48035193 666616057
1 457065146 137882081
1 220080845 931921781
1 707636406 273617134
1 605455706 909509834
1 4261766 760540811
1 153652107 155618655
1 751661008 313244733
1 700759724 868361120
1 73707133 845203659
1 101392562 588730972
1 864566285 684174971
1 141218229 278323446
1 327982868 610519205
1 813816830 289092645
1 504495040 782698924
1 526125281 397423068
1 998488399 157304335
1 932862371 987246297
1 865602599 128656615
1 525257017 482390480
1 633204848 137904382
1 823624979 132917138
1 342547668 587977047
1 518253303 89591289
1 130207528 698043959
1 152608729 592412363
1 87730587 314193867
1 980314245 646975931
1 30672865 708723931
1 925643217 914009251
1 470153014 269368985
1 340966029 922657785
1 848555121 227018920
1 295899878 410101672
1 822557026 9195174
1 824398062 886716168
1 965302931 754891879
1 416751259 394237146
1 712708464 974855129
1 228032596 78509655
1 787231153 347239304
1 9733466 381605890
1 531165292 998520643
1 708349295 370240675
1 9602642 123309147
1 282835403 26285988
1 15054493 765277152
1 72473004 430550379
1 155049703 815673088
1 118691125 415386968
1 295026495 118044189
1 740635052 831079530
1 623690273 494737304
1 460446146 127774259
1 496419298 138151469
1 726910659 945956608
1 923570159 224840375
1 623382304 406648193
1 846052916 915111003
1 823045892 990136517
1 871789284 29056354
1 767373298 249214182
1 588815264 613496672
1 575683563 99813606
1 221190191 249347180
1 153061148 606283908
1 526380224 387282775
1 616225746 385462119
1 173037033 333534171
1 572671234 11207631
1 597853578 49101133
1 923725979 903244890
1 109296012 278029008
1 614818952 363795478
1 100812778 788740941
1 711758323 831199449
1 366027326 428103074
1 276499633 767698301
1 19639557 162531439
1 125549136 713860907
1 607723295 366172511
1 684908669 747651963
1 103626992 842595405
1 875387500 20225481
1 382333428 606852572
1 107098313 410050405
1 646198264 829420169
1 12734263 69372119
1 197707046 705120213
1 414589446 567868054
1 983180381 218978380
1 624300263 802399577
1 214600018 950437791
1 16450975 52103518
1 407383239 505209815
1 624537992 502943586
1 853777272 741859828
1 905654972 772003046
1 237569723 662234688
1 195850070 707179286
1 524565425 950727040
1 81984403 813317003
1 361180154 211556787
1 779522946 437401653
1 74006882 26591317
1 662125600 84700446
1 690587131 696282329
1 337879346 584384132
1 627946420 160839582
1 11419581 802853284
1 388345101 713309274
1 352117998 729744901
1 707510103 505347682
1 716306366 167768280
1 13147124 565876005
1 130977779 172793478
1 936353485 325835757
1 969028699 742343823
1 114892119 197023958
1 695864241 987335503
1 472103831 844495599
1 713532614 793958650
1 499231942 165618943
1 245530568 109149067
1 295070142 704135671
1 537693223 191790963
1 433864878 260022981
1 997801424 141712323
1 424245916 448380750
1 524287150 568726409
1 929440430 102237310
1 645559711 627656711
1 334276178 155481672
1 804978887 133177709
1 583759594 542196862
1 233671530 717297994
1 532135893 131542474
1 165012544 964438731
1 20789380 160253777
1 790635204 724549639
1 122741196 326980052
1 40504008 584503513
1 869938448 986826760
1 624675417 19666983
1 566807798 894181472
1 54719037 539853943
1 251095936 157008575
1 757021019 204636436
1 354207236 336345968
1 463708044 115919123
1 399607776 26527063
1 721813634 386624735
1 37960001 984072226
1 107029373 837332981
1 558482853 917772981
1 174947717 441166876
1 152622719 34563715
1 641272401 437797892
1 789030106 517471317
1 107229 447692734
1 143461149 113352818
1 220506033 635605556
1 238185205 269222427
1 215722789 493497165
1 464990574 196564363
1 460195824 68096052
1 131773960 669305663
1 79573145 296514512
1 130632127 805871255
1 882309761 605570592
1 507295256 601289002
1 768566923 190138156
1 34787100 344216294
1 212094220 992185167
1 942324973 111408233
1 795491721 389147203
1 740279933 512066860
1 620585430 998732178
1 685115899 728577857
1 717703600 821738579
1 243886446 600699446
1 307455846 357727618
1 659166793 541133656
1 429636316 57541798
1 99953626 26853737
1 361546706 284250379
1 592024633 866270280
